ORDER_ID,TRUCK_ID,CUSTOMER_ID,LOCATION_ID,ORDER_TS,ORDER_CHANNEL,ORDER_STATUS,ORDER_CURRENCY,DISCOUNT_AMOUNT,_LOADED_AT
1001,1,1,101,2026-02-27 08:15:00,WLKUP,COMPLETED,USD,0.00,2026-03-01 05:00:00
1002,2,2,101,2026-02-27 09:05:00,MOB_APP,COMPLETED,USD,0.00,2026-03-01 05:00:00
1003,3,3,102,2026-02-27 11:30:00,KIOSK,COMPLETED,USD,0.00,2026-03-01 05:00:00
1004,1,4,101,2026-02-27 12:10:00,WEB,COMPLETED,USD,0.00,2026-03-01 05:00:00
1005,4,5,103,2026-02-27 12:45:00,WLKUP,COMPLETED,USD,0.00,2026-03-01 05:00:00
1006,2,6,101,2026-02-27 13:20:00,MOB_APP,COMPLETED,USD,0.00,2026-03-01 05:00:00
1007,3,1,102,2026-02-27 14:00:00,KIOSK,COMPLETED,USD,0.00,2026-03-01 05:00:00
1008,1,2,101,2026-02-27 15:30:00,WLKUP,CANCELLED,USD,0.00,2026-03-01 05:00:00
1009,3,3,102,2026-02-27 17:10:00,WEB,COMPLETED,USD,0.00,2026-03-01 05:00:00
1010,2,4,101,2026-02-27 18:00:00,MOB_APP,COMPLETED,USD,0.00,2026-03-01 05:00:00
1011,1,1,101,2026-02-28 08:30:00,WLKUP,COMPLETED,USD,0.00,2026-03-01 05:00:00
1012,3,3,102,2026-02-28 09:45:00,KIOSK,COMPLETED,USD,0.00,2026-03-01 05:00:00
1013,2,2,101,2026-02-28 11:15:00,MOB_APP,COMPLETED,USD,2.00,2026-03-01 05:00:00
1014,4,5,103,2026-02-28 12:00:00,WEB,COMPLETED,USD,0.00,2026-03-01 05:00:00
1015,1,6,101,2026-02-28 12:40:00,WLKUP,COMPLETED,USD,0.00,2026-03-01 05:00:00
1016,3,4,102,2026-02-28 13:25:00,KIOSK,COMPLETED,USD,0.00,2026-03-01 05:00:00
1017,2,1,101,2026-02-28 14:50:00,MOB_APP,COMPLETED,USD,0.00,2026-03-01 05:00:00
1018,3,6,102,2026-02-28 16:05:00,WLKUP,COMPLETED,USD,0.00,2026-03-01 05:00:00
1019,1,2,101,2026-02-28 17:30:00,WEB,COMPLETED,USD,0.00,2026-03-01 05:00:00
1020,4,5,103,2026-02-28 18:15:00,KIOSK,COMPLETED,USD,0.00,2026-03-01 05:00:00
